name	status	basis
build/observation-recovery-mainline-udc-v11-generation10-20260811-r1/repack/stable-recovery-a.avb.img	revoked	consumed by the sole Generation 111 postmortem observation; recovery reported EMPTY pstore with zero records and bytes, then exact-path stock recovery returned; absence remains inconclusive; never retry or flash
build/observation-recovery-mainline-udc-v11-generation11-20260824-r1/repack/stable-recovery-a.avb.img	revoked	consumed by the sole Generation 118 postmortem observation; one retained record exposed only the prior ASUS recovery kexec shutdown tail and no target lineage, so target failure remains unclassified; no payload or storage surface; never retry or flash
build/headless-core-v21-generation21-20260812-r1/repack/stable-recovery-a.avb.img	allow	one exact headless-core Arch SSH recovery with power-key indicator; RAM-only; externally consumed exact claim required; never flash or retry after entry
build/power-usb-observer-v16-offline-r1/wrapper/repack/stable-recovery-a.avb.img	revoked	consumed by the sole v16 RAM-only cycle; mainline reached systemd and key-only SSH, then PAS rejected ADSP metadata because the deployed DTB omitted three live-proven stock-owned RAM exclusions; exact stock slot-A fallback passed; never retry or flash
build/power-usb-observer-v17-offline-r1/wrapper/repack/stable-recovery-a.avb.img	revoked	consumed by the sole v17 RAM-only cycle; NFS, systemd, key-only SSH, runtime acceptance, and exact stock slot-A fallback passed, but the V16-pinned target selector omitted the retained charging probe before ADSP; never retry or flash
build/power-usb-observer-v18-offline-r1/wrapper/repack/stable-recovery-a.avb.img	revoked	consumed by the sole v18 RAM-only cycle; ADSP reached running after NFS, systemd, SSH, and runtime acceptance, then pdr_interface BTF validation returned -EINVAL before PMIC GLINK; exact stock slot-A fallback passed; never retry or flash
build/power-usb-observer-v19-offline-r1/wrapper/repack/stable-recovery-a.avb.img	revoked	consumed by the sole v19 RAM-only cycle; ADSP/PDR/PMIC GLINK/UCSI reached Type-C port0, then the probe wrongly required source-optional port_type and clobbered its mode label; exact stock slot-A fallback passed; never retry or flash
build/power-usb-observer-v20-offline-r1/wrapper/repack/stable-recovery-a.avb.img	revoked	unbooted optional-port-type observer superseded before execution by the early-initramfs typed power observer; no phone contact or COMMIT; retain offline only; never boot or flash
build/power-usb-observer-v21-offline-r1/wrapper/repack/stable-recovery-a.avb.img	revoked	consumed by the sole v21 RAM-only cycle; signed transfer, PREPARE, and COMMIT passed, then the diagnostic-profile token was rejected before target USB; exact stock slot-A fallback, host cleanup, and FALLBACK_RETURNED resolution passed; no phone-storage access; never retry or flash
build/power-usb-observer-v22-offline-r1/wrapper/repack/stable-recovery-a.avb.img	revoked	consumed by the sole v22 RAM-only cycle; target NCM/ACM enumerated for about 268 ms, then the BusyBox-incompatible observer transport check forced rollback; exact stock slot-A fallback and FALLBACK_RETURNED resolution passed; no phone-storage access; never retry or flash
